date,LHX,ENB,CRM,vwretd
2015-03-16,0.011685,0.009959,0.028328,0.011764
2015-03-17,-0.008662,0.029582,0.016860,-0.001752
2015-03-18,0.003190,0.027066,0.014804,0.012080
2015-03-19,-0.002074,-0.031218,0.004814,-0.004553
2015-03-20,0.007897,0.013601,-0.017276,0.009388
2015-03-23,0.001924,0.000000,-0.000443,-0.000947
2015-03-24,-0.013994,0.024567,-0.004286,-0.004568
2015-03-25,-0.017114,0.005642,-0.023601,-0.014691
2015-03-26,0.037373,-0.018433,0.003192,-0.002223
2015-03-27,0.047353,-0.010410,0.008486,0.002468
2015-03-30,0.011466,-0.002888,0.004508,0.011519
2015-03-31,0.014556,0.003310,-0.000598,-0.007119
2015-04-01,-0.002159,-0.018763,-0.010926,-0.002676
2015-04-02,0.001400,0.013448,0.009080,0.004004
2015-04-06,0.025540,0.020319,0.018896,0.006577
2015-04-07,-0.011523,0.007316,0.003827,-0.002134
2015-04-08,0.004387,-0.003631,0.000147,0.003582
2015-04-09,0.006864,0.012148,-0.006891,0.003365
2015-04-10,0.003966,0.007001,-0.001476,0.004585
2015-04-13,-0.008025,0.000993,-0.008279,-0.003718
2015-04-14,0.001867,0.017265,-0.002534,0.001885
2015-04-15,0.007578,0.019313,0.004484,0.006183
2015-04-16,-0.009370,0.011483,0.010415,-0.000422
2015-04-17,-0.022402,0.002460,-0.030923,-0.011294
2015-04-20,0.009548,0.006795,0.016563,0.008078
2015-04-21,0.033165,-0.008436,0.007175,-0.001010
2015-04-22,0.006469,0.008508,0.004898,0.004142
2015-04-23,-0.005578,0.006937,0.011224,0.003555
2015-04-24,-0.010976,0.002234,-0.009347,0.001163
2015-04-27,-0.004439,0.010032,0.000147,-0.004791
2015-04-28,0.004335,-0.009748,-0.014003,0.002456
2015-04-29,-0.022567,-0.009844,0.116011,-0.003923
2015-04-30,0.012364,-0.018383,-0.024514,-0.010676
2015-05-01,0.002617,-0.003631,0.007416,0.009290
2015-05-04,0.000249,0.008439,-0.023991,0.002961
2015-05-05,-0.014912,-0.011792,0.016061,-0.011551
2015-05-06,-0.009714,-0.023864,0.014296,-0.003354
2015-05-07,-0.003822,-0.004929,0.009893,0.003347
2015-05-08,0.008568,0.018229,-0.028449,0.012083
2015-05-11,-0.007734,0.000389,-0.016575,-0.003980
2015-05-12,-0.006261,0.004474,0.008006,-0.002240
2015-05-13,-0.005401,-0.004925,0.000279,0.000185
2015-05-14,0.018100,-0.011765,0.015183,0.009713
2015-05-15,-0.001016,0.019048,-0.006586,0.001057
2015-05-18,0.006864,-0.005841,0.005525,0.003342
2015-05-19,0.002399,-0.014884,-0.018132,-0.001352
2015-05-20,0.006045,-0.005169,-0.018467,-0.000317
2015-05-21,-0.001133,0.021583,0.039196,0.002465
2015-05-22,0.011851,-0.013693,0.028803,-0.002200
